feature_a,feature_b,spearman_correlation,abs_spearman_correlation
trades_z_168h,hour_sin,-0.22991366947055691,0.22991366947055691
volume_z_168h,hour_cos,-0.22984434793508052,0.22984434793508052
dist_high_24h,lsr_top_chg_24h,-0.22947665215002258,0.22947665215002258
ret_1h,ret_12h,0.22788488385711259,0.22788488385711259
dist_high_24h,oi_chg_1h,0.22703190145289653,0.22703190145289653
macd_hist_1h,oi_chg_24h,0.22673407597622336,0.22673407597622336
ret_12h,lsr_top_chg_24h,-0.22599703693406692,0.22599703693406692
funding_std_168h,lsr_top_level,-0.224723505461111,0.224723505461111
vol_24h,low,-0.22459203268041755,0.22459203268041755
high,volume,-0.22452762452971312,0.22452762452971312
macd_hist_1h,lsr_top_chg_24h,-0.22441051488651137,0.22441051488651137
ret_168h,rsi_14h,0.22430238361538138,0.22430238361538138
vol_24h,eth_ret_168h,-0.22423384852707082,0.22423384852707082
dist_high_24h,trades_z_168h,-0.2235330032266536,0.2235330032266536
ret_168h,oi_chg_24h,0.22268826386139098,0.22268826386139098
ret_1h,rsi_14h,0.22070820412066702,0.22070820412066702
vol_24h,open,-0.21882798401592854,0.21882798401592854
vol_24h,close,-0.21877216499748176,0.21877216499748176
dist_high_24h,eth_ret_1h,0.21824781876421848,0.21824781876421848
dist_low_24h,eth_ret_1h,0.21738506884167008,0.21738506884167008
ret_168h,taker_buy_ratio_24h,0.2165500408926335,0.2165500408926335
ret_12h,ret_168h,0.21643585660338832,0.21643585660338832
vol_168h,eth_ret_168h,-0.21514512971654343,0.21514512971654343
dow_sin,dow_cos,0.2149083731017293,0.2149083731017293
vol_24h,funding_std_168h,0.2147793777055561,0.2147793777055561
vol_24h,high,-0.21348575447136559,0.21348575447136559
atr_pct_14h,dist_low_168h,0.21324584753176082,0.21324584753176082
bb_pctb_20h,lsr_top_chg_24h,-0.21320770662512153,0.21320770662512153
ret_6h,taker_buy_ratio_24h,0.21319669827063265,0.21319669827063265
ret_3h,eth_ret_24h,0.21294391022324807,0.21294391022324807
vol_6h,hour_sin,-0.21239601979913014,0.21239601979913014
ret_168h,bb_pctb_20h,0.2120690095542262,0.2120690095542262
vol_96h,dow_cos,-0.20845571587255574,0.20845571587255574
hour_cos,volume,-0.20843847447885772,0.20843847447885772
taker_buy_ratio_1h,taker_buy_ratio_24h,0.20823502366831306,0.20823502366831306
dist_low_96h,eth_ret_168h,0.20732992984702592,0.20732992984702592
vol_24h,dist_low_168h,0.20338578214154407,0.20338578214154407
funding_last,lsr_top_chg_24h,0.20288274373260687,0.20288274373260687
ret_3h,ret_48h,0.20077114795212778,0.20077114795212778
dist_high_24h,volume_z_168h,-0.19851189987903242,0.19851189987903242
trades_z_168h,hour_cos,-0.19779971388917228,0.19779971388917228
volume_z_168h,hour_sin,-0.19712334558527864,0.19712334558527864
taker_buy_ratio_24h,lsr_top_level,-0.19648073622799525,0.19648073622799525
ret_6h,ret_96h,0.19534341022899193,0.19534341022899193
ret_12h,eth_ret_1h,0.1949775224433594,0.1949775224433594
bb_bw_20h,eth_ret_168h,-0.19208347727002018,0.19208347727002018
funding_mean_24h,eth_ret_168h,0.19172851505353314,0.19172851505353314
dist_low_24h,lsr_top_chg_24h,-0.1916821665681466,0.1916821665681466
dist_high_24h,btc_eth_ret_spread_24h,-0.19133331824250074,0.19133331824250074
ret_3h,dist_high_168h,0.19087230949904468,0.19087230949904468
atr_pct_14h,hour_cos,0.1905329112537846,0.1905329112537846
dist_high_24h,dist_low_168h,0.1893776863834178,0.1893776863834178
funding_last,eth_ret_168h,0.18874832089840812,0.18874832089840812
ret_24h,btc_eth_ret_spread_24h,-0.18759881094765948,0.18759881094765948
rsi_14h,eth_ret_1h,0.18670607117278795,0.18670607117278795
funding_mean_24h,funding_std_168h,-0.18606602905041597,0.18606602905041597
dist_low_24h,dist_high_96h,0.18419378049005888,0.18419378049005888
ret_12h,oi_chg_1h,0.18378972170616392,0.18378972170616392
lsr_top_chg_24h,eth_ret_24h,-0.18304450215710266,0.18304450215710266
rsi_14h,oi_chg_1h,0.1818117140473592,0.1818117140473592
bb_bw_20h,btc_eth_ret_spread_24h,0.18178591680652717,0.18178591680652717
vol_ratio_6_96,dow_cos,0.18104641113140285,0.18104641113140285
hour_sin,volume,-0.18061233164548532,0.18061233164548532
ret_3h,dist_low_168h,0.1778762110668041,0.1778762110668041
dist_low_24h,oi_chg_1h,0.17777235700421734,0.17777235700421734
atr_pct_14h,btc_eth_ret_spread_24h,0.1770231019839884,0.1770231019839884
bb_bw_20h,dist_low_96h,0.17562990641474496,0.17562990641474496
ret_6h,taker_buy_ratio_1h,0.1749308072899209,0.1749308072899209
dist_high_96h,btc_eth_ret_spread_24h,-0.17271668733810416,0.17271668733810416
oi_chg_24h,eth_ret_168h,0.17050646025451024,0.17050646025451024
dist_high_24h,dow_sin,-0.169514770126145,0.169514770126145
vol_6h,low,-0.1685046949376456,0.1685046949376456
vol_24h,btc_eth_ret_spread_24h,0.167486464802473,0.167486464802473
vol_6h,funding_std_168h,0.1670230758407449,0.1670230758407449
dist_high_24h,taker_buy_ratio_1h,0.16548131998676294,0.16548131998676294
vol_6h,eth_ret_168h,-0.16470222018184216,0.16470222018184216
ret_96h,dist_low_24h,0.16451161029876002,0.16451161029876002
ret_3h,taker_buy_ratio_24h,0.1643834362731694,0.1643834362731694
rsi_14h,eth_ret_168h,0.16317703331452513,0.16317703331452513
ret_3h,oi_chg_24h,0.1628788042344737,0.1628788042344737
dist_high_168h,low,0.16168875748860287,0.16168875748860287
vol_6h,close,-0.1612269993596691,0.1612269993596691
vol_6h,open,-0.16116868928463823,0.16116868928463823
dist_high_168h,close,0.16006608956371488,0.16006608956371488
dist_low_24h,funding_std_168h,0.1591337244624951,0.1591337244624951
dist_low_96h,volume,0.15868446976829426,0.15868446976829426
ret_168h,vol_96h,-0.15818650619754995,0.15818650619754995
ret_12h,eth_ret_168h,0.15793272455725693,0.15793272455725693
dist_low_168h,volume,0.1572192403568794,0.1572192403568794
dist_high_168h,open,0.15701380962599829,0.15701380962599829
oi_chg_1h,oi_chg_24h,0.15697369128886698,0.15697369128886698
bb_pctb_20h,eth_ret_168h,0.15666211516429798,0.15666211516429798
dist_high_168h,high,0.15633250939705817,0.15633250939705817
taker_buy_ratio_24h,funding_mean_24h,-0.15571603061582537,0.15571603061582537
vol_6h,dist_low_96h,0.15564019840312218,0.15564019840312218
ret_168h,atr_pct_14h,-0.15477725925197053,0.15477725925197053
dist_low_24h,dow_sin,0.15466541749825335,0.15466541749825335
vol_6h,high,-0.1544130037927652,0.1544130037927652
vol_6h,btc_eth_ret_spread_24h,0.15279646567750765,0.15279646567750765
ret_168h,vol_24h,-0.1509833810579726,0.1509833810579726
dist_low_24h,taker_buy_ratio_1h,0.15092325293459202,0.15092325293459202
ret_6h,ret_168h,0.14820858680446566,0.14820858680446566
bb_bw_20h,low,-0.1479845126800078,0.1479845126800078
dist_high_96h,low,0.14712681157458496,0.14712681157458496
dist_high_96h,close,0.145840636060613,0.145840636060613
dist_high_24h,low,0.14579834276173867,0.14579834276173867
dist_high_24h,close,0.14498972416026856,0.14498972416026856
funding_last,funding_std_168h,-0.14419184063834267,0.14419184063834267
ret_168h,funding_last,0.1431321457395189,0.1431321457395189
ret_48h,btc_eth_ret_spread_24h,-0.14308613560360425,0.14308613560360425
bb_bw_20h,open,-0.1428610734346516,0.1428610734346516
bb_bw_20h,close,-0.14277843367613366,0.14277843367613366
funding_mean_24h,lsr_top_chg_24h,0.14254226400479117,0.14254226400479117
dist_high_96h,open,0.14193227450952228,0.14193227450952228
bb_bw_20h,funding_std_168h,0.14184745927880993,0.14184745927880993
dist_high_96h,high,0.14181807082887135,0.14181807082887135
funding_last,volume,0.1416812990439384,0.1416812990439384
rsi_14h,taker_buy_ratio_1h,0.14134799077936788,0.14134799077936788
ret_6h,lsr_top_chg_24h,-0.14032636992877054,0.14032636992877054
ret_1h,ret_24h,0.14028639721466546,0.14028639721466546
dist_high_96h,volume,-0.14019378972326074,0.14019378972326074
ret_12h,taker_buy_ratio_1h,0.13980838989529537,0.13980838989529537
ret_1h,macd_hist_1h,0.1390023900828695,0.1390023900828695
dist_high_24h,high,0.13878871430700515,0.13878871430700515
dist_high_168h,btc_eth_ret_spread_24h,-0.13846104318405836,0.13846104318405836
dist_low_24h,trades_z_168h,0.1383692663927407,0.1383692663927407
dist_high_24h,open,0.1381900712816517,0.1381900712816517
bb_bw_20h,high,-0.13807734894119086,0.13807734894119086
dist_low_168h,lsr_top_level,-0.13758457272350552,0.13758457272350552
btc_eth_ret_spread_24h,volume,0.13746067141523494,0.13746067141523494
